As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
27/Mar/2019,USD,5.03,2 096 449.00,10 551 886.75,102.29,102.32
26/Mar/2019,USD,5.05,2 096 449.00,10 584 617.35,102.61,102.64
25/Mar/2019,USD,5.01,2 096 449.00,10 504 314.38,101.83,101.87
22/Mar/2019,USD,5.03,2 096 449.00,10 545 768.15,102.23,102.26
21/Mar/2019,USD,5.11,2 096 449.00,10 716 392.55,103.89,103.91
20/Mar/2019,USD,5.07,2 096 449.00,10 634 090.23,103.09,103.11
19/Mar/2019,USD,5.09,2 096 449.00,10 675 528.75,103.49,103.50
18/Mar/2019,USD,5.08,2 096 449.00,10 659 824.30,103.34,103.35
15/Mar/2019,USD,5.06,2 096 449.00,10 613 834.24,102.89,102.90
14/Mar/2019,USD,5.03,2 096 449.00,10 549 397.33,102.27,102.29
13/Mar/2019,USD,5.03,2 096 449.00,10 542 889.66,102.20,102.22
